MUNICIPIO,LOCALIDAD,NOMBRE_LOCALIDAD
1,1,VILLA DE ACAMBAY DE RUIZ CASTAÑEDA
1,2,EL AGOSTADERO
1,3,AGUA LIMPIA
1,4,LAS ARENAS
1,5,BARRANCAS
1,6,BARRIO DE GUADALUPE
1,7,BOSHI CHIQUITO
1,8,BOSHI GRANDE
1,9,BOSHINDO
1,10,BOTI AGOSTADERO
1,11,BOTIDI
1,12,BOVINI
1,13,BUENAVISTA
1,14,CAÑADA DEL GALLO
1,15,LA CARIDAD
1,16,EL CERRITO DE TIXMADEJE
1,17,CONEJERAS
1,18,LA CUMBRE
1,19,CHANTEJE
1,20,LOS CHARCOS
1,21,DATEJE
1,22,DETIÑA
1,23,DETIÑA EJIDO
1,24,DONGU
1,25,DOXTEJE CENTRO
1,26,EL ERMITAÑO
1,27,ESDOCA
1,28,LA ESTANCIA SECTOR 1
1,29,LA FLORIDA
1,30,GANDO
1,31,GANZDA
1,32,GOLONDRINAS
1,33,HONDIGA
1,34,LA HUERTA
1,35,JUANDO
1,36,LA LAGUNA
1,37,LA LOMA
1,38,LOMA DE ENMEDIO
1,39,LOMA DEL FRESNO
1,40,LOMA LINDA
1,41,MADO SECTOR I
1,42,LA MANGA
1,43,LAS MANGAS
1,44,MUYTEJE
1,45,LA PALMA
1,46,PATHE
1,47,LOS PILARES
1,48,PUEBLO NUEVO BARRIO II
1,49,PUENTECILLAS
1,50,EL PUERTO DE DONGU
1,51,LOMA DE SAN ANGEL
1,52,SAN ANTONIO LAS PALMAS
1,53,SAN FRANCISCO SHAXNI
1,54,SAN FRANCISCO SHAXNI EJIDO
1,55,SAN ILDEFONSO YOLOTEPEC
1,56,SAN JOSE BOCTO
1,57,SAN JUANICO SECTOR I
1,58,SAN NICOLAS ACAMBAY
1,60,SAN PEDRO DE LOS METATES
1,61,SANTA MARIA ARENAS
1,63,LOS SAUCES
1,64,LA SOLEDAD
1,65,LA TERESA
1,66,TIXMADEJE CHIQUITO
1,67,SANTA MARIA TIXMADEJE
1,68,LOS TORILES
1,69,LAS POMAS
1,70,DOXTEJE BARRIO PRIMERO
1,71,RANCHO LA VENTA
1,72,RANCHO LUCERO
1,76,RANCHO TOTO
1,78,DESHPE
1,79,RANCHO BUENAVISTA
1,80,CHIVAS
1,81,LA ESTANCIA SECTOR II
1,82,EL FRESADERO
1,83,MADO SECTOR II
1,84,EL MEDRANO
1,85,LA NOPALERA
1,86,SAN JUANICO SECTOR II
1,87,EL PEDREGAL DE TIXMADEJE
1,88,EJIDO DE TIXMADEJE GRANDE
1,89,LA VENTA
1,90,SAN AGUSTIN LA LOMA
1,91,RINCON DE JUANDO
1,92,RINCON DE SAN FRANCISCO SHAXNI
1,93,DOXTEJE BARRIO II
1,94,TIXMADEJE BARRIO II
1,95,HERMOSA PROVINCIA
1,96,PUEBLO NUEVO BARRIO I
1,97,ENDEJE
2,1,ACOLMAN DE NEZAHUALCOYOTL
2,2,SAN BARTOLO
2,3,SANTA CATARINA
2,4,TEPEXPAN
2,5,XOMETLA
2,6,NEXTLALPAN
2,7,SAN LUCAS TEPANGO
2,8,SAN MARCOS NEPANTLA
2,9,SAN PEDRO TEPETITLAN
2,10,SAN JOSE
2,11,QUINTA LAS FLORES
3,1,ACULCO DE ESPINOZA
3,2,LOS AILES
3,4,LAS ANIMAS
3,5,ARROYO ZARCO
3,6,EL AZAFRAN
3,7,BAÑE EJIDO
3,8,BAÑE
3,9,BARRANCAS
3,10,EL BONXHI
3,12,COFRADIA GRANDE
3,13,EL COLORADO
3,14,LA CONCEPCION EJIDO
3,15,LA CONCEPCION PUEBLO
3,16,SANTA MARIA NATIVITAS SEGUNDO CUARTEL
3,17,EJIDO DECANDEJE
3,18,DECANDEJE
3,19,LA ESTANCIA
3,20,ENCINILLAS EJIDO
3,21,FONDO
3,24,GUNYO ORIENTE
3,25,GUNYO PONIENTE
3,26,JURICA
3,27,LOMA ALTA CABRESTEROS
3,28,ÑADO BUENAVISTA
3,29,EL MOGOTE
3,33,EL ROSAL
3,35,SAN ANTONIO
3,36,SAN FRANCISQUITO
3,37,SAN JERONIMO BARRIO
3,38,SAN JERONIMO EJIDO
3,39,SAN JOAQUIN COSCOMATEPEC EJIDO
3,40,SAN JOAQUIN COSCOMATEPEC
3,43,SAN LUCAS TOTOLMALOYA
3,44,SAN MARTIN EJIDO
3,45,SAN PEDRO DENXHI
3,46,SANTA ANA MATLAVAT EJIDO
3,47,SANTA ANA MATLAVAT
3,48,SANTA MARIA EJIDO
3,49,SANTA MARIA NATIVITAS
3,50,SANTA ROSA EJIDO
3,52,SANTIAGO OXTOC TOXHIE
3,53,LA SOLEDAD EJIDO
3,56,EL TIXHIÑU
3,57,EL ZETHE
3,58,SAN ANTONIO ARROYO ZARCO
3,59,LA ESPERANZA
3,60,CHAPALA
3,62,LA SOLEDAD BARRIO
3,63,EL TEPOZAN
3,64,SAN ANTONIO EL ZETHE
3,65,BARRIO DE TOTOLOPAN
3,67,HIGUERILLAS
3,69,LAS LAJAS
3,70,LA PERA
3,71,EL RINCON
